year,y_true_mm,y_pred_mm,residual,resid_std_roll
1994,905.8999696969986,929.2134402394296,23.31347054243099,116.75391343239059
1995,843.3999928593636,929.0302883863448,85.63029552698117,95.48767294146127
1996,1069.400015974045,928.9824716448784,-140.4175443291665,102.93394185936738
1997,950.5000053048134,929.0096884846688,-21.490316820144585,100.64773128012922
1998,1079.700029236078,929.401086616516,-150.29894261956213,71.59508666311214
1999,922.5999978661536,929.721571147442,7.12157328128842,230.53711375166506
2000,971.9999978363512,930.2479922711848,-41.75200556516643,333.5820976087255
2001,483.39999705702064,929.786242353916,446.38624529689537,314.97993454842776
2002,318.0,929.43379676342,611.43379676342,347.5553455637504
2003,348.4999998394399,927.7026559352876,579.2026560958477,469.7798108177004
2004,1037.6000101804734,925.2057605803012,-112.3942496001722,457.7688274557622
2005,1365.3,922.8407670199872,-442.45923298001276,374.6997037897565
2006,927.8999780237674,922.778093379736,-5.121884644031411,168.84838431600426
2007,1067.2000088989737,922.8957000911236,-144.30430880785013,187.6479016335527
2008,1203.4000042676926,922.5149764537812,-280.8850278139114,117.55935208858592
2009,928.4999969780444,921.7384225845336,-6.7615743935107275,117.97394942103288
2010,1095.2000194966793,922.2247051119804,-172.9753143846989,215.27777116454325
2011,926.4999962210655,923.03952485919,-3.460471361875534,179.81935378451317
2012,636.0999986708164,923.729371869564,287.62937319874766,178.46513754734724
2013,741.9000012606382,923.5622629702092,181.662261709571,216.28202241795415
2014,913.0000067174434,923.2051355838776,10.205128866434166,248.22993235854176
2015,1204.5999797523025,923.7397966682912,-280.8601830840113,233.82456962483352
